fips,value
1001,68.8
1003,66.1
1005,61.8
1007,61.7
1009,59.9
1011,51.7
1013,60.3
1015,57.0
1017,62.3
1019,61.0
1021,66.7
1023,57.0
1025,59.1
1027,58.6
1029,46.4
1031,64.9
1033,67.0
1035,60.8
1037,64.3
1039,64.6
1041,60.6
1043,66.1
1045,66.4
1047,62.6
1049,56.0
1051,66.4
1053,59.9
1055,58.5
1057,61.3
1059,54.9
1061,62.0
1063,60.0
1065,54.1
1067,53.3
1069,63.1
1071,52.3
1073,65.1
1075,56.3
1077,65.6
1079,56.8
1081,64.4
1083,64.8
1085,61.3
1087,60.1
1089,67.3
1091,50.5
1093,56.9
1095,57.6
1097,61.2
1099,64.3
1101,65.9
1103,63.9
1105,54.8
1107,62.9
1109,71.2
1111,49.8
1113,54.3
1115,60.2
1117,67.8
1119,59.7
1121,56.6
1123,62.5
1125,68.8
1127,66.1
1129,59.0
1131,55.2
1133,55.3
2020,56.4
2068,60.7
2090,59.6
2100,63.0
2110,61.7
2122,55.8
2130,59.6
2150,56.6
2170,59.3
2180,51.2
2185,42.9
2220,53.2
2240,43.4
2261,55.2
2290,56.4
4001,31.8
4003,54.5
4005,50.7
4007,59.0
4009,45.0
4011,43.8
4012,46.0
4013,65.9
4015,60.1
4017,51.3
4019,69.5
4021,61.8
4023,52.8
4025,68.2
4027,64.2
5001,44.6
5003,56.3
5005,69.4
5007,61.8
5009,57.2
5011,61.3
5013,48.5
5015,56.6
5017,52.2
5019,57.7
5021,51.2
5023,61.5
5025,66.4
5027,51.4
5029,53.3
5031,61.8
5033,57.4
5035,58.0
5037,46.7
5039,57.3
5041,45.9
5043,53.8
5045,57.9
5047,57.6
5049,49.0
5051,60.2
5053,51.7
5055,57.0
5057,55.2
5059,46.8
5061,47.9
5063,53.9
5065,64.7
5067,50.6
5069,62.8
5071,48.0
5073,60.6
5075,52.9
5077,38.4
5079,53.8
5081,50.6
5083,55.2
5085,58.1
5087,43.2
5089,58.4
5091,56.8
5093,49.2
5095,64.3
5097,40.5
5099,61.3
5101,53.0
5103,59.7
5105,59.2
5107,46.7
5109,43.8
5111,61.3
5113,50.8
5115,57.3
5117,59.3
5119,63.0
5121,57.5
5123,50.2
5125,66.1
5127,47.1
5129,52.3
5131,62.0
5133,46.0
5135,59.5
5137,43.0
5139,54.9
5141,55.3
5143,57.6
5145,52.2
5147,62.7
5149,47.7
6001,60.1
6003,69.4
6005,69.9
6007,62.4
6009,66.1
6011,58.7
6013,64.1
6015,51.5
6017,66.8
6019,59.9
6021,53.9
6023,66.4
6025,45.9
6027,62.3
6029,52.7
6031,52.7
6033,54.5
6035,51.7
6037,54.0
6039,60.4
6041,65.0
6043,58.3
6045,58.4
6047,63.5
6049,48.4
6051,67.8
6053,63.5
6055,63.5
6057,70.3
6059,64.1
6061,69.3
6063,64.2
6065,57.4
6067,58.6
6069,61.7
6071,50.8
6073,56.2
6075,62.1
6077,59.3
6079,68.2
