fips,value
1001,85.0
1003,81.0
1005,86.0
1007,83.0
1009,86.0
1011,77.0
1013,86.0
1015,81.0
1017,86.0
1019,92.0
1021,89.0
1023,85.0
1025,77.0
1027,82.0
1029,86.0
1031,87.0
1033,89.0
1035,72.0
1037,84.0
1039,82.0
1041,79.0
1043,89.0
1045,83.0
1047,77.0
1049,90.0
1051,84.0
1053,82.0
1055,84.0
1057,81.0
1059,85.0
1061,87.0
1063,87.0
1065,77.0
1067,86.0
1069,86.0
1071,83.0
1073,84.0
1075,80.0
1077,87.0
1079,86.0
1081,83.0
1083,88.0
1085,83.0
1087,84.0
1089,86.0
1091,77.0
1093,89.0
1095,83.0
1097,84.0
1099,74.0
1101,82.0
1103,84.0
1105,85.0
1107,87.0
1109,87.0
1111,86.0
1113,79.0
1115,86.0
1117,86.0
1119,78.0
1121,82.0
1123,79.0
1125,86.0
1127,88.0
1129,83.0
1131,81.0
1133,82.0
2013,89.0
2020,76.0
2068,86.0
2090,76.0
2100,65.0
2110,83.0
2122,81.0
2130,82.0
2150,82.0
2170,82.0
2180,88.0
2185,40.0
2220,80.0
2240,78.0
2261,84.0
2290,69.0
4001,31.0
4003,77.0
4005,58.0
4007,73.0
4009,63.0
4011,81.0
4012,67.0
4013,84.0
4015,82.0
4017,54.0
4019,82.0
4021,79.0
4023,79.0
4025,81.0
4027,82.0
5001,79.0
5003,81.0
5005,87.0
5007,85.0
5009,82.0
5011,83.0
5013,88.0
5015,84.0
5017,77.0
5019,82.0
5021,86.0
5023,86.0
5025,90.0
5027,87.0
5029,85.0
5031,83.0
5033,83.0
5035,84.0
5037,71.0
5039,77.0
5041,80.0
5043,77.0
5045,86.0
5047,83.0
5049,81.0
5051,87.0
5053,88.0
5055,82.0
5057,83.0
5059,83.0
5061,73.0
5063,83.0
5065,84.0
5067,80.0
5069,80.0
5071,84.0
5073,83.0
5075,83.0
5077,71.0
5079,86.0
5081,76.0
5083,83.0
5085,85.0
5087,83.0
5089,83.0
5091,87.0
5093,77.0
5095,79.0
5097,80.0
5099,85.0
5101,87.0
5103,88.0
5105,80.0
5107,75.0
5109,87.0
5111,80.0
5113,79.0
5115,84.0
5117,87.0
5119,82.0
5121,87.0
5123,80.0
5125,83.0
5127,78.0
5129,86.0
5131,84.0
5133,82.0
5135,87.0
5137,75.0
5139,85.0
5141,89.0
5143,82.0
5145,82.0
5147,81.0
5149,75.0
6001,80.0
6003,83.0
6005,85.0
6007,81.0
6009,85.0
6011,89.0
6013,80.0
6015,85.0
6017,82.0
6019,82.0
6021,82.0
6023,86.0
6025,85.0
6027,84.0
6029,81.0
6031,74.0
6033,81.0
6035,77.0
6037,80.0
6039,85.0
6041,84.0
6043,86.0
6045,84.0
6047,82.0
6049,82.0
6051,82.0
6053,84.0
6055,80.0
6057,85.0
6059,84.0
6061,84.0
6063,78.0
6065,80.0
6067,80.0
6069,85.0
6071,78.0
6073,83.0
6075,82.0
6077,84.0
6079,85.0
6081,80.0
6083,86.0
6085,80.0
6087,86.0
6089,85.0
6091,72.0
6093,81.0
6095,73.0
6097,82.0
6099,83.0
6101,85.0
6103,78.0
6105,79.0
6107,80.0
6109,83.0
6111,84.0
6113,81.0
6115,83.0
8001,85.0
8003,89.0
8005,83.0
8007,72.0
8009,84.0
8011,79.0
8013,86.0
8014,89.0
8015,90.0
8017,73.0
8019,89.0
8021,82.0
8023,81.0
8025,92.0
8027,84.0
8029,84.0
8031,84.0
8033,70.0
8035,86.0
8037,85.0
8039,79.0
8041,79.0
8043,82.0
8045,90.0
8047,91.0
8049,77.0
8051,57.0
8055,77.0
8057,89.0
8059,85.0
8061,85.0
8063,79.0
8065,87.0
8067,74.0
8069,85.0
8071,82.0
8073,87.0
8075,89.0
8077,89.0
8081,73.0
8083,77.0
8085,81.0
8087,82.0
8089,82.0
8091,92.0
8093,83.0
8095,82.0
8097,85.0
8099,63.0
8101,84.0
8103,78.0
8105,87.0
8107,80.0
8109,81.0
8113,87.0
8115,87.0
8117,81.0
8119,80.0
8121,89.0
8123,88.0
8125,88.0
9001,84.0
9003,87.0
9005,87.0
9007,88.0
9009,82.0
9011,83.0
9013,90.0
9015,86.0
10001,86.0
10003,84.0
10005,87.0
11001,79.0
12001,84.0
12003,77.0
12005,75.0
12007,82.0
12009,85.0
12011,86.0
12013,82.0
12015,87.0
