fips,value
1001,14.4
1003,10.9
1005,26.3
1007,22.5
1009,23
1011,32.2
1013,23.7
1015,21.4
1017,24.9
1019,21.7
1021,24
1023,24.8
1025,21.7
1027,23.5
1029,24
1031,17.6
1033,16.5
1035,22.7
1037,25
1039,21.6
1041,23.3
1043,20.2
1045,15.9
1047,22.5
1049,29.4
1051,13.4
1053,23.8
1055,18.2
1057,25.1
1059,27.5
1061,22.8
1063,23.8
1065,22.6
1067,19.9
1069,16.1
1071,25.4
1073,12.6
1075,23.9
1077,16.2
1079,22.9
1081,13.3
1083,18.5
1085,26.1
1087,20
1089,10
1091,16.3
1093,25.4
1095,23.8
1097,16.1
1099,23.9
1101,14.4
1103,18.6
1105,29.8
1107,20.3
1109,19
1111,27.4
1113,19.6
1115,18
1117,8.8
1119,24.5
1121,21.1
1123,20.8
1125,13.4
1127,23.6
1129,19.5
1131,23.9
1133,27.3
2013,21.5
2016,17.3
2020,7.5
2050,20.5
2060,8.3
2068,11.2
2070,16.3
2090,6.90000000000001
2100,3.59999999999999
2105,11.6
2110,4.5
2122,7.2
2130,6.5
2150,10.4
2164,13.2
2170,7.59999999999999
2180,15.9
2185,14
2188,21.3
2195,4.3
2198,9
2220,8.8
2230,4.8
2240,6.90000000000001
2261,9
2270,23.4
2275,11
2282,6.8
2290,19.7
4001,25.5
4003,14.2
4005,12.4
4007,15.7
4009,15.6
4011,15.7
4012,24.7
4013,13.6
4015,16.2
4017,19.4
4019,12.8
4021,15.3
4023,27.5
4025,9.8
4027,28.1
5001,15.9
5003,15.8
5005,12.4
5007,14.2
5009,14.6
5011,24
5013,19.5
5015,15.4
5017,25.8
5019,13.8
5021,23.9
5023,15.5
5025,15.2
5027,14.6
5029,15.5
5031,15.1
5033,17.8
5035,20.9
5037,21
5039,17.9
5041,23.1
5043,18.7
5045,10.6
5047,17.9
5049,16.3
5051,13.2
5053,15.1
5055,17.2
5057,18.3
5059,16.6
5061,24
5063,17.5
5065,20.2
5067,24.4
5069,17
5071,20.3
5073,22.5
5075,22.6
5077,29.9
5079,26.5
5081,16.6
5083,18.7
5085,13.3
5087,23.4
5089,16.4
5091,14.9
5093,22.2
5095,24.7
5097,17.7
5099,17.9
5101,20.2
5103,15.3
5105,15.4
5107,27.2
5109,19.9
5111,26.7
5113,14.9
5115,18.1
5117,21.4
5119,10.8
5121,19.6
5123,24
5125,10.8
5127,23
5129,25.9
5131,17.8
5133,33.7
5135,17
5137,21.1
5139,17.6
5141,18.6
5143,17.4
5145,17.4
5147,26.4
5149,28.7
6001,13.6
6003,9.59999999999999
6005,11.9
6007,12.3
6009,7.2
6011,30.6
6013,11.2
6015,20.9
6017,6.8
6019,26.9
6021,27.7
6023,9.59999999999999
6025,35.5
6027,11.9
6029,27.6
6031,29
6033,14.6
6035,20.6
6037,23.4
6039,31.5
6041,7.59999999999999
6043,12.3
6045,14.8
6047,33.3
6049,15.2
6051,16.2
6053,29
6055,16.9
6057,5.7
6059,16.2
6061,6.40000000000001
6063,10.1
6065,20.4
6067,14.1
6069,23.1
6071,21.8
6073,14.5
6075,13.7
6077,22.7
6079,10.4
6081,11.4
6083,20.9
