fips,value
1001,55825702901.1963
1003,41861200109.9449
1005,59864642912.8355
1007,48425727971.0785
1009,59864642912.8355
1011,30935436926.1608
1013,59864642912.8355
1015,41861200109.9449
1017,59864642912.8355
1019,89555831954.7812
1021,73469399144.8427
1023,55825702901.1963
1025,30935436926.1608
1027,45043984543.8538
1029,59864642912.8355
1031,64143976136.01
1033,73469399144.8427
1035,20716482749.6199
1037,52016243724.5199
1039,45043984543.8538
1041,36054993104.5864
1043,73469399144.8427
1045,48425727971.0785
1047,30935436926.1608
1049,78539267752.0618
1051,52016243724.5199
1053,45043984543.8538
1055,52016243724.5199
1057,41861200109.9449
1059,55825702901.1963
1061,64143976136.01
1063,64143976136.01
1065,30935436926.1608
1067,59864642912.8355
1069,59864642912.8355
1071,48425727971.0785
1073,52016243724.5199
1075,38867910649.5547
1077,64143976136.01
1079,59864642912.8355
1081,48425727971.0785
1083,68674998661.7844
1085,48425727971.0785
1087,52016243724.5199
1089,59864642912.8355
1091,30935436926.1608
1093,73469399144.8427
1095,48425727971.0785
1097,52016243724.5199
1099,24399513049.4885
1101,45043984543.8538
1103,52016243724.5199
1105,55825702901.1963
1107,64143976136.01
1109,64143976136.01
1111,59864642912.8355
1113,36054993104.5864
1115,59864642912.8355
1117,59864642912.8355
1119,33413657126.8855
1121,45043984543.8538
1123,36054993104.5864
1125,59864642912.8355
1127,68674998661.7844
1129,48425727971.0785
1131,41861200109.9449
1133,45043984543.8538
2013,73469399144.8427
2020,28612183217.6186
2068,59864642912.8355
2090,28612183217.6186
2100,11246925414.9518
2110,48425727971.0785
2122,41861200109.9449
2130,45043984543.8538
2150,45043984543.8538
2170,45043984543.8538
2180,68674998661.7844
2185,619105702.09113
2220,38867910649.5547
2240,33413657126.8855
2261,52016243724.5199
2290,16066767275.0378
4001,135097370.573353
4003,30935436926.1608
4005,5695014778.75716
4007,22495309473.222
4009,9331976089.06509
4011,41861200109.9449
4012,13478366496.7552
4013,52016243724.5199
4015,45043984543.8538
4017,3716641337.8202
4019,45043984543.8538
4021,36054993104.5864
4023,36054993104.5864
4025,41861200109.9449
4027,45043984543.8538
5001,36054993104.5864
5003,41861200109.9449
5005,64143976136.01
5007,55825702901.1963
5009,45043984543.8538
5011,48425727971.0785
5013,68674998661.7844
5015,52016243724.5199
5017,30935436926.1608
5019,45043984543.8538
5021,59864642912.8355
5023,59864642912.8355
5025,78539267752.0618
5027,64143976136.01
5029,55825702901.1963
5031,48425727971.0785
5033,48425727971.0785
5035,52016243724.5199
5037,19056348828.3865
5039,30935436926.1608
5041,38867910649.5547
5043,30935436926.1608
5045,59864642912.8355
5047,48425727971.0785
