fips,value
1001,14.0
1003,29.0
1005,17.0
1007,13.0
1009,16.0
1011,16.0
1013,17.0
1015,15.0
1017,14.0
1019,17.0
1021,16.0
1023,19.0
1025,19.0
1027,16.0
1029,16.0
1031,20.0
1033,15.0
1035,17.0
1037,13.0
1039,22.0
1041,18.0
1043,23.0
1045,23.0
1047,17.0
1049,26.0
1051,14.0
1053,18.0
1055,22.0
1057,14.0
1059,15.0
1061,23.0
1063,13.0
1065,14.0
1067,18.0
1069,18.0
1071,20.0
1073,31.0
1075,18.0
1077,14.0
1079,16.0
1081,15.0
1083,16.0
1085,12.0
1087,16.0
1089,15.0
1091,13.0
1093,17.0
1095,22.0
1097,28.0
1099,17.0
1101,17.0
1103,16.0
1105,14.0
1107,14.0
1109,13.0
1111,16.0
1113,17.0
1115,22.0
1117,18.0
1119,13.0
1121,18.0
1123,12.0
1125,21.0
1127,18.0
1129,19.0
1131,14.0
1133,18.0
2013,1.0
2016,1.0
2020,0.0
2050,5.0
2060,2.0
2068,8.0
2070,3.0
2090,9.0
2100,0.0
2105,0.0
2110,0.0
2122,13.0
2130,0.0
2150,5.0
2164,1.0
2170,11.0
2180,1.0
2185,4.0
2188,3.0
2195,0.0
2198,0.0
2220,0.0
2230,0.0
2240,3.0
2261,4.0
2270,4.0
2275,0.0
2282,0.0
2290,12.0
4001,12.0
4003,11.0
4005,17.0
4007,18.0
4009,11.0
4011,11.0
4012,5.0
4013,16.0
4015,13.0
4017,18.0
4019,12.0
4021,15.0
4023,6.0
4025,19.0
4027,4.0
5001,10.0
5003,9.0
5005,14.0
5007,17.0
5009,15.0
5011,17.0
5013,14.0
5015,13.0
5017,10.0
5019,18.0
5021,17.0
5023,17.0
5025,13.0
5027,16.0
5029,21.0
5031,19.0
5033,19.0
5035,15.0
5037,16.0
5039,13.0
5041,10.0
5043,12.0
5045,18.0
5047,19.0
5049,20.0
5051,15.0
5053,12.0
5055,19.0
5057,20.0
5059,13.0
5061,17.0
5063,23.0
5065,22.0
5067,25.0
5069,15.0
5071,19.0
5073,15.0
5075,14.0
5077,11.0
5079,14.0
5081,16.0
5083,15.0
5085,21.0
5087,21.0
5089,19.0
5091,15.0
5093,12.0
5095,20.0
5097,16.0
5099,18.0
5101,22.0
5103,17.0
5105,16.0
5107,11.0
5109,16.0
5111,23.0
5113,18.0
5115,12.0
5117,14.0
5119,23.0
5121,17.0
5123,16.0
5125,16.0
5127,16.0
5129,16.0
5131,14.0
5133,11.0
5135,18.0
5137,21.0
5139,15.0
5141,20.0
5143,12.0
5145,21.0
5147,19.0
5149,13.0
6001,16.0
6003,8.0
6005,12.0
6007,18.0
6009,13.0
6011,12.0
6013,14.0
6015,13.0
6017,13.0
6019,11.0
6021,12.0
6023,18.0
6025,10.0
6027,8.0
6029,29.0
6031,13.0
6033,17.0
6035,11.0
6037,55.0
6039,15.0
6041,17.0
6043,11.0
6045,18.0
6047,11.0
6049,11.0
6051,6.0
6053,19.0
6055,20.0
6057,11.0
6059,29.0
6061,16.0
6063,13.0
6065,47.0
6067,14.0
6069,10.0
6071,46.0
6073,39.0
6075,5.0
6077,18.0
6079,17.0
6081,14.0
6083,27.0
6085,15.0
6087,22.0
6089,28.0
6091,9.0
6093,12.0
6095,19.0
6097,17.0
6099,11.0
6101,12.0
6103,17.0
6105,17.0
6107,13.0
6109,11.0
6111,35.0
6113,12.0
6115,16.0
8001,10.0
8003,5.0
8005,9.0
8007,5.0
8009,8.0
8011,7.0
8013,13.0
8014,4.0
8015,3.0
8017,6.0
8019,7.0
8021,5.0
8023,7.0
8025,10.0
8027,9.0
8029,7.0
8031,9.0
8033,6.0
8035,10.0
8037,5.0
8039,10.0
8041,17.0
8043,13.0
8045,8.0
8047,6.0
8049,4.0
8051,7.0
8053,6.0
8055,7.0
8057,4.0
8059,11.0
8061,8.0
8063,4.0
8065,3.0
8067,8.0
8069,24.0
8071,11.0
8073,7.0
8075,9.0
8077,5.0
8079,6.0
8081,4.0
8083,6.0
8085,7.0
8087,10.0
8089,7.0
8091,6.0
8093,10.0
8095,4.0
8097,4.0
8099,6.0
8101,14.0
8103,3.0
8105,7.0
8107,4.0
8109,7.0
8111,4.0
8113,7.0
8115,7.0
8117,4.0
8119,9.0
8121,10.0
8123,14.0
8125,5.0
9001,24.0
9003,24.0
9005,23.0
9007,21.0
9009,26.0
9011,22.0
9013,23.0
9015,23.0
10001,13.0
10003,13.0
10005,16.0
11001,19.0
12001,14.0
12003,19.0
12005,29.0
12007,14.0
12009,26.0
12011,27.0
12013,23.0
12015,24.0
12017,17.0
12019,18.0
12021,34.0
12023,16.0
12027,21.0
12029,22.0
12031,20.0
12033,24.0
12035,19.0
12037,25.0
12039,18.0
12041,15.0
12043,23.0
12045,28.0
12047,17.0
12049,20.0
12051,24.0
12053,18.0
12055,23.0
12057,26.0
12059,22.0
12061,20.0
12063,17.0
12065,17.0
12067,14.0
12069,19.0
12071,43.0
12073,0.0
12075,21.0
12077,20.0
12079,12.0
12081,28.0
12083,17.0
12085,26.0
12086,28.0
12087,31.0
12089,19.0
12091,25.0
12093,20.0
12095,21.0
12097,20.0
12099,26.0
12101,23.0
12103,24.0
12105,25.0
12107,19.0
12109,15.0
12111,23.0
12113,25.0
12115,28.0
12117,20.0
12119,14.0
12121,18.0
12123,17.0
12125,15.0
12127,25.0
12129,24.0
12131,25.0
12133,23.0
13001,7.0
13003,7.0
13005,7.0
13007,9.0
13009,6.0
13011,9.0
13013,8.0
13015,13.0
13017,6.0
13019,8.0
13021,9.0
13023,7.0
13025,8.0
13027,8.0
13029,9.0
13031,7.0
13033,7.0
13035,10.0
13037,5.0
13039,8.0
13043,8.0
13045,14.0
13047,11.0
13049,8.0
13051,7.0
13053,2.0
13055,9.0
13057,12.0
13059,6.0
13061,15.0
13063,0.0
13065,7.0
13067,13.0
13069,9.0
13071,8.0
13073,6.0
13075,6.0
13077,8.0
13079,11.0
13081,6.0
13083,12.0
13085,11.0
13087,9.0
13089,11.0
13091,7.0
13093,8.0
13095,8.0
13097,10.0
13099,7.0
13101,5.0
13103,5.0
13105,8.0
13107,9.0
13109,4.0
13111,9.0
13113,7.0
13115,13.0
13117,10.0
13119,8.0
13121,14.0
13123,10.0
13125,4.0
13127,8.0
13129,11.0
13131,8.0
13133,7.0
13135,8.0
13137,13.0
13139,12.0
13141,6.0
13143,9.0
13145,7.0
13147,7.0
13149,11.0
13151,9.0
13153,9.0
13155,5.0
13157,7.0
13159,8.0
13161,7.0
13163,9.0
13165,7.0
13167,9.0
13169,9.0
13171,10.0
13173,7.0
13175,9.0
13177,7.0
13179,6.0
13181,5.0
13183,6.0
13185,7.0
13187,14.0
13189,7.0
13191,10.0
13193,6.0
13195,7.0
13197,4.0
13199,9.0
13201,7.0
13205,8.0
13207,13.0
13209,9.0
13211,5.0
13213,9.0
13215,5.0
13217,11.0
13219,6.0
13221,6.0
13223,11.0
13225,9.0
13227,13.0
13229,6.0
13231,13.0
13233,11.0
13235,7.0
13237,5.0
13239,4.0
13241,12.0
13243,4.0
13245,6.0
13247,10.0
13249,4.0
13251,7.0
13253,5.0
13255,11.0
13257,10.0
13259,7.0
13261,6.0
13263,8.0
13265,7.0
13267,8.0
13269,7.0
13271,8.0
13273,3.0
13275,8.0
13277,9.0
13279,9.0
13281,6.0
13283,7.0
13285,6.0
13287,5.0
13289,8.0
13291,8.0
13293,13.0
13295,13.0
13297,7.0
13299,10.0
13301,5.0
13303,7.0
13305,6.0
13307,7.0
13309,8.0
13311,12.0
13313,10.0
13315,7.0
13317,8.0
13319,7.0
13321,8.0
15001,18.0
15003,14.0
15005,1.0
15007,8.0
15009,14.0
16001,3.0
16003,5.0
16005,3.0
16007,2.0
16009,8.0
16011,4.0
16013,6.0
16015,5.0
16017,9.0
16019,4.0
16021,7.0
16023,4.0
16025,5.0
16027,1.0
16029,3.0
16031,2.0
16033,1.0
16035,10.0
16037,4.0
16039,7.0
16041,1.0
16043,3.0
16045,4.0
16047,3.0
16049,12.0
16051,3.0
16053,3.0
16055,10.0
16057,8.0
16059,3.0
16061,7.0
16063,4.0
16065,3.0
16067,2.0
16069,10.0
16071,1.0
16073,4.0
16075,4.0
16077,3.0
16079,10.0
16081,1.0
16083,1.0
16085,7.0
16087,6.0
17001,18.0
17003,14.0
17005,4.0
17007,9.0
17009,14.0
17011,14.0
17013,21.0
17015,13.0
17017,17.0
17019,10.0
17021,5.0
17023,7.0
17025,3.0
17027,5.0
17029,5.0
17031,19.0
17033,7.0
17035,6.0
17037,10.0
17039,8.0
17041,10.0
17043,14.0
17045,6.0
17047,5.0
17049,4.0
17051,5.0
17053,6.0
17055,8.0
17057,16.0
17059,9.0
17061,16.0
17063,13.0
17065,8.0
17067,15.0
17069,6.0
17071,13.0
17073,12.0
17075,7.0
17077,12.0
17079,7.0
17081,3.0
17083,16.0
17085,14.0
17087,5.0
17089,14.0
17091,5.0
17093,11.0
17095,8.0
17097,15.0
17099,18.0
17101,7.0
17103,7.0
17105,9.0
17107,9.0
17109,8.0
17111,14.0
17113,9.0
17115,8.0
17117,6.0
17119,12.0
17121,6.0
17123,12.0
17125,16.0
17127,10.0
17129,9.0
17131,12.0
17133,16.0
17135,4.0
17137,12.0
17139,6.0
17141,12.0
17143,13.0
17145,5.0
17147,7.0
17149,20.0
17151,10.0
17153,12.0
17155,9.0
17157,14.0
17159,6.0
17161,12.0
17163,14.0
17165,7.0
17167,9.0
17169,15.0
17171,14.0
17173,7.0
17175,6.0
17177,11.0
17179,13.0
17181,12.0
17183,9.0
17185,8.0
17187,6.0
17189,5.0
17191,6.0
17193,8.0
17195,11.0
17197,16.0
17199,7.0
17201,16.0
17203,12.0
18001,14.0
18003,13.0
18005,8.0
18007,16.0
18009,14.0
18011,14.0
18013,12.0
18015,12.0
18017,12.0
18019,15.0
18021,16.0
18023,11.0
18025,16.0
18027,15.0
18029,16.0
18031,10.0
18033,12.0
18035,14.0
18037,13.0
18039,9.0
18041,12.0
18043,12.0
18045,8.0
18047,18.0
18049,13.0
18051,18.0
18053,16.0
18055,15.0
18057,16.0
18059,14.0
18061,16.0
18063,10.0
18065,15.0
18067,11.0
18069,12.0
18071,14.0
18073,14.0
18075,12.0
18077,19.0
18079,14.0
18081,12.0
18083,14.0
18085,13.0
18087,9.0
18089,17.0
18091,13.0
18093,17.0
18095,17.0
18097,15.0
18099,11.0
18101,12.0
18103,11.0
18105,12.0
18107,17.0
18109,13.0
18111,14.0
18113,13.0
18115,15.0
18117,14.0
18119,14.0
18121,15.0
18123,17.0
18125,17.0
18127,10.0
18129,16.0
18131,12.0
18133,16.0
18135,15.0
18137,13.0
18139,12.0
18141,12.0
18143,14.0
18145,11.0
18147,11.0
18149,12.0
18151,9.0
18153,15.0
18155,17.0
18157,11.0
18159,12.0
18161,12.0
18163,15.0
18165,12.0
18167,13.0
18169,9.0
18171,12.0
18173,15.0
18175,15.0
18177,11.0
18179,12.0
