fips,value
1001,4117.57160397
1003,4443.53002496
1005,4858.50602761
1007,4363.95374209
1009,4216.53117477
1011,4636.24702217
1013,5260.89654843
1015,4906.72334109
1017,5614.49656583
1019,5340.7210743
1021,4704.07625507
1023,5036.43841547
1025,4707.15751171
1027,5548.3778352
1029,4735.50627839
1031,4108.27260351
1033,5228.92628794
1035,5337.16359238
1037,4506.45636537
1039,5423.01072422
1041,4925.9312527
1043,4993.40845211
1045,3930.27004438
1047,5018.25650388
1049,4390.44284127
1051,3842.2253887
1053,4877.47592578
1055,5586.51728431
1057,5643.52415753
1059,5112.91950543
1061,5483.38932437
1063,4975.12437811
1065,4727.15736041
1067,5230.60917813
1069,4296.53264006
1071,5200.36823417
1073,4423.46301859
1075,5671.51881351
1077,4898.12208092
1079,4711.84367629
1081,2830.00705897
1083,3524.92087652
1085,4761.48331711
1087,4605.63117658
1089,3422.82660964
1091,5202.83445094
1093,5468.54691968
1095,4869.97280126
1097,4306.13668061
1099,4677.47529045
1101,3726.40748508
1103,4336.76458281
1105,5466.90586347
1107,5125.08862554
1109,4264.56731208
1111,4949.15550124
1113,4498.8384611
1115,4233.60807723
1117,2838.76259067
1119,4969.8466904
1121,5041.86363029
1123,5392.15686275
1125,3570.91484465
1127,6159.0797189
1129,4538.99095615
1131,5372.75064267
1133,5231.98823722
2013,636.739891754
2016,647.36558173
2020,2301.71403508
2050,3015.34120966
2060,3209.62888666
2068,1642.93537788
2070,3816.79389313
2090,1954.27388529
2100,2870.81339713
2105,2232.55813953
2110,2298.96083133
2122,2992.77978339
2130,2604.43718929
2150,1728.95821071
2164,3004.29184549
2170,2438.33923254
2180,3919.0897598
2185,1983.03287381
2188,2791.43958527
2195,2070.77326343
2198,2950.17089405
2220,2837.51829749
2230,1962.80991736
2240,2375.87138996
2261,2168.94977169
2270,4383.96567905
2275,3334.74039679
2282,1510.57401813
2290,4724.40944882
4001,3351.60379205
4003,3923.98702663
4005,2332.22487558
4007,5662.6303711
4009,3073.6163353
4011,2820.90790565
4012,4426.76558153
4013,2977.06357966
4015,5471.91112266
4017,3667.78657782
4019,3816.52678924
4021,2817.68102829
4023,2494.72796288
4025,5297.74964105
4027,2960.90441428
5001,5147.48409485
5003,4658.39930444
5005,6732.83067955
5007,3015.28424724
5009,4815.32666721
5011,5752.5199861
5013,3986.58718331
5015,4368.57829921
5017,5542.37288136
5019,4787.99739074
5021,6317.22937263
5023,5906.81555641
5025,4465.41604327
5027,5413.00097752
5029,4832.41667842
5031,3789.80330351
5033,4027.57151159
5035,3893.75663039
