fips,value
1001,4.97324
1003,2.76063
1005,7.14257
1007,2.69141
1009,2.1543
1011,13.83872
1013,1.50098
1015,4.5204
1017,15.2002
1019,2.5304
1021,2.31739
1023,2.82456
1025,1.50015
1027,1.48926
1029,2.73724
1031,6.06446
1033,3.65637
1037,1.11719
1039,1.46729
1041,1.31405
1043,2.65592
1045,6.54096
1047,5.53027
1049,2.96208
1051,2.90039
1053,3.00635
1055,6.46045
1057,1.39844
1059,6.80273
1061,2.97653
1063,1.20377
1065,5.35547
1067,4.00195
1069,6.53223
1071,1.45411
1073,6.88086
1075,1.42285
1077,4.01724
1079,0.53854
1081,8.99552
1083,5.20117
1085,0.58789
1087,7.92313
1089,9.05125
1091,0.60877
1093,1.4043
1095,12.62277
1097,4.42062
1099,1.0459
1101,6.25489
1103,7.15645
1105,5.54786
1107,2.57928
1109,6.18365
1111,1.58039
1113,2.3202
1115,2.60338
1117,5.61644
1119,1.98047
1121,5.14063
1123,3.11921
1125,6.44315
1127,4.64905
1129,1.99585
1133,1.25
2013,40.47103
2016,0.00561
2020,3.67552
2050,0.60228
2068,0.6377
2070,0.95117
2090,1.96338
2100,0.46324
2105,0.07227
2110,3.92188
2122,1.00391
2130,1.29346
2150,1.02686
2164,0.60987
2170,1.96338
2180,0.20291
2185,0.35357
2195,0.34082
2198,5.75098
2220,0.84131
2230,0.40871
2240,0.16106
2261,0.81153
2270,0.0498
2275,5.93214
2282,4.27539
2290,0.79297
4001,1.13655
4003,2.85157
4005,3.52636
4007,4.23924
4009,4.96025
4011,2.60611
4012,5.33587
4013,9.20703
4015,4.46387
4017,2.19824
4019,7.05281
4021,4.81167
4023,1.84672
4025,1.33389
4027,5.45605
5001,2.39234
5003,2.01661
5005,4.42432
5007,9.06522
5009,3.17676
5011,26.59766
5015,6.62453
5017,0.64976
5019,1.32324
5021,1.01877
5023,1.43652
5025,0.40714
5027,1.71133
5029,1.24734
5031,7.138
5033,5.77148
5035,5.43945
5037,13.51563
5039,1.2597
5041,1.27686
5043,1.37062
5045,3.55627
5047,4.86612
5049,1.40332
5051,5.09522
5053,1.28002
5055,1.02925
5057,0.98779
5059,3.71854
5061,2.45149
5063,1.99219
5065,1.47363
5067,12.38827
5069,1.51299
5071,4.2309
5075,9.8963
5077,2.52441
5079,1.34456
5081,2.28651
5083,1.19543
5085,4.85694
5087,0.77734
5089,0.85127
5091,2.99609
5093,1.84668
5095,0.48145
5097,15.66641
5099,0.53246
5101,1.98877
5103,1.2888
5105,2.96582
5107,6.84365
5109,2.93652
5111,1.44141
5113,5.1097
5115,6.95215
5117,0.69629
5119,5.74877
5121,2.56088
5123,0.63867
5125,3.99942
5127,1.11943
5129,1.2002
5131,5.00719
5133,2.62891
5135,1.25684
5137,0.98614
5139,2.48438
5141,0.53223
5143,8.64127
5145,2.97891
5147,3.58792
5149,1.77323
6001,5.61527
6003,1.48547
6005,2.55747
6007,3.08398
6009,2.52734
6011,3.02734
6013,7.69043
6015,15.42328
6017,3.20818
6019,5.0542
6021,1.67334
6023,4.67285
6025,4.3125
6027,1.53906
6029,6.43164
6031,5.10742
6033,4.76227
6035,1.125
6037,5.74636
6039,2.50098
6041,10.93665
6043,1.51563
6045,1.5438
6047,3.83838
6049,1.12549
6051,1.6368
6053,2.64941
6055,2.60843
6057,2.4551
6059,7.79878
6061,2.9873
6063,1.13477
6065,9.61362
6067,9.1926
6069,2.61003
6071,7.24485
6073,9.23926
6075,7.00514
6077,4.97363
6079,7.1211
6081,6.84864
6083,6.4375
6085,6.08691
6087,4.68609
6089,1.78027
6091,1.02686
6093,2.45059
6095,5.92479
6097,7.08887
6099,5.14806
6101,2.32813
6103,2.46094
6105,0.45167
6107,2.5262
6109,1.30078
6111,9.02102
6113,3.8462
6115,2.90528
8001,9.22045
8003,2.22168
8005,9.49867
8007,1.58577
8009,1.50114
8011,1.75203
8013,9.2334
8014,7.66992
8015,1.7351
8019,1.27832
8021,2.38301
8023,9.74512
8025,1.25683
8027,1.28291
8029,0.66361
8031,7.11276
8035,8.48086
8037,6.08332
8039,1.62793
8041,7.48438
8043,4.49205
8045,4.2837
8047,1.91133
8049,3.74414
8051,1.74121
8053,0.67139
8055,1.46145
8057,1.41107
8059,6.74021
8061,2.403
8063,3.28369
8065,5.9375
8067,1.41016
8069,7.99121
8071,2.78223
8073,2.67416
8075,1.09185
8077,5.96191
8079,1.04084
8081,3.99316
8083,1.4292
8085,2.22967
8087,5.14941
8089,7.7008
8091,1.90377
8093,1.08665
8097,5.59974
8099,1.06348
8101,6.45166
8103,3.85645
8105,0.78467
8107,5.96387
8109,0.54297
8111,4.65509
8113,3.07129
8117,2.10862
8119,1.5406
8121,1.01311
8123,4.56162
8125,3.37505
9001,8.08709
9003,10.80078
9005,6.93164
9007,2.41123
9009,6.20898
9011,5.01953
9013,6.09489
9015,7.40957
10001,14.78321
10003,16.79034
10005,7.34616
11001,6.32465
12001,6.5786
12003,8.65559
12005,7.39453
12007,2.37031
12009,9.13514
12011,5.85628
12013,5.76074
12015,4.76855
12017,8.91016
12019,6.03774
12021,6.58838
12023,6.1505
12027,3.91358
12029,0.77441
12031,8.45703
12033,9.04297
12035,9.19727
12037,5.66406
12039,2.80079
12041,2.37158
12043,0.6293
12045,3.91626
12047,0.68776
12049,2.90095
12051,1.51125
12053,9.18164
12055,1.54004
12057,11.88672
12059,1.43514
12061,4.96484
12063,3.04004
12065,1.43116
12067,1.09367
12069,5.1045
12071,4.95313
12073,6.84615
12075,2.01786
12077,2.23242
12079,1.53711
12081,9.61719
12083,4.02413
12085,5.88281
12086,5.73779
12087,7.97803
12089,5.54925
12091,11.7373
12093,4.97657
12095,9.13086
12097,9.32754
12099,6.21178
12101,10.03809
12103,9.61719
12105,9.24575
12107,5.23654
12109,5.71112
12111,6.16949
12113,5.60645
12115,13.07215
12117,9.30388
12119,5.14363
12121,2.06934
12123,2.30176
12125,5.70166
12127,7.56445
12129,2.88037
12131,6.38434
12133,1.9292
13001,2.71631
13003,8.40795
13007,2.35156
13009,5.0039
13011,2.97071
13013,22.7207
13015,6.05811
13017,1.97307
13019,3.16337
13021,8.92188
13023,1.98383
13025,5.79395
13027,2.6111
13029,5.16054
13031,3.04883
13033,5.90332
13035,3.7041
13039,2.84318
13043,1.86384
13045,3.17248
13047,8.64222
13049,1.66617
13051,7.98761
13053,5.49523
13055,2.94581
13057,5.76429
13059,11.46729
13061,2.1875
13063,4.66797
13065,2.61294
13067,6.21484
13069,3.19727
13071,2.65284
13073,8.10294
13075,3.10055
13077,5.60993
13079,0.64607
13081,2.58594
13083,1.89133
13085,1.85217
13087,2.76367
13089,7.77734
13091,5.51777
13093,1.26367
13095,3.26549
13097,6.13798
13099,6.36488
13101,4.375
13103,9.89258
13105,2.95166
13107,1.05908
13109,14.85059
13111,2.75596
13113,6.50335
13115,10.40527
13117,9.48175
13119,2.98867
13121,9.26172
13123,2.56641
13127,5.70898
13129,5.77414
13131,2.86925
13133,2.28156
13135,6.15479
13137,3.00862
13139,5.6629
13141,0.44678
13143,1.27148
13145,3.71118
13147,2.91309
13149,14.12166
13151,6.47242
13153,9.30859
13155,11.12012
13157,5.43506
13159,3.56055
13161,10.90705
13163,2.96094
13167,1.92383
13169,7.58578
13171,2.90625
13173,2.07031
13175,2.74512
13177,5.50391
13179,7.33203
13181,0.70129
13183,2.89954
13185,4.58398
13187,2.91211
13189,10.47461
13191,5.48975
13193,2.37412
13195,2.90436
13197,2.63965
13199,1.87144
13201,1.92871
13205,8.43652
13207,1.60059
13209,2.57959
13211,3.25488
13213,2.98584
13215,6.23636
13217,2.95996
13219,5.7793
13221,2.6377
13223,6.14864
13225,4.72364
13227,2.83849
13229,2.86274
13231,2.02148
13233,9.99219
13235,0.83984
13237,5.34717
13241,2.85645
13243,3.04628
13245,14.97739
13247,5.67539
13249,3.22217
13251,5.05371
13255,5.52734
13257,2.98904
13259,5.63504
13261,2.71484
13263,0.86566
13265,0.12072
13267,2.34435
13269,1.25826
13271,2.72852
13273,2.84277
13275,2.8428
13277,7.8369
13279,5.55859
13281,2.91602
13283,3.11377
13285,5.50391
13287,2.57031
13289,1.56055
13291,2.91873
13293,6.07032
13295,3.14551
13297,2.86503
13299,7.62275
13303,2.74721
13305,5.58594
13309,3.50488
13311,2.90137
13313,5.09383
13315,3.21875
13317,0.88428
13319,5.01531
13321,2.77194
15001,5.34082
15003,5.90114
15007,2.93772
15009,4.61765
16001,4.8462
16003,2.49074
16005,3.07082
16007,1.38755
16009,14.63829
16011,2.77678
16013,5.37305
16015,1.20424
16017,1.83398
16019,3.17969
16021,1.18066
16023,5.58301
16025,1.57522
16027,3.7293
16029,0.86815
16031,1.25488
16035,1.75943
16037,2.26563
16039,3.31245
16041,3.18066
16043,0.63672
16045,3.6479
16047,1.29688
16049,1.57617
16051,2.44092
16053,4.85156
16055,2.80518
16057,2.64504
16059,1.26465
16061,1.13775
16065,2.38584
16067,2.87793
16069,2.68066
16073,3.99219
16075,1.77393
16077,5.57669
16079,2.77936
16081,1.2876
16083,3.13468
16085,1.13819
16087,1.36719
17001,2.57227
17003,1.93702
17005,1.06402
17007,5.81152
17009,2.89111
17011,5.29724
17013,1.00121
17015,2.73311
17017,3.29737
17019,9.22559
17021,3.16944
17023,10.5332
17025,6.59277
17027,4.69777
17029,9.07257
17031,5.33291
17033,9.39844
17035,1.07959
17037,11.6251
17039,9.43164
17041,8.68652
17043,7.875
17045,2.63575
17047,2.78568
17049,3.01172
17051,1.26758
17053,1.08777
17055,0.91162
17057,3.91183
17059,0.72213
17061,2.81152
17063,2.15102
17065,4.44727
17067,2.91602
17069,1.19436
17071,1.93291
17073,6.06641
17075,2.54872
17077,2.70913
17079,1.94883
17081,3.85649
17083,1.50792
17085,1.9375
17087,1.52735
17089,5.18167
17091,4.97901
17093,4.79883
17095,7.75684
17097,7.33105
17099,2.86633
17101,2.58985
17103,9.87793
17105,2.84663
17107,2.73047
17109,0.94238
17111,4.38916
17113,5.66855
17115,8.35599
17117,2.79451
17119,10.33252
17121,4.86621
17123,1.75434
17125,4.00025
17127,0.72852
17129,1.20645
17131,2.7832
17133,6.28418
17135,2.5835
17137,1.62969
17139,10.97771
17141,5.05273
17143,6.78096
17145,4.73293
17147,1.21191
17149,2.58933
17151,2.24219
17155,0.97754
17157,1.50111
17159,0.96235
17161,6.87914
17163,10.61965
17165,1.75879
17167,10.67188
17169,1.07899
17171,2.77745
17173,5.4885
17175,2.24121
17177,8.42383
17179,5.54321
17181,1.51953
17183,4.17071
17185,0.97032
17187,1.16407
17189,3.83301
17191,0.61755
17193,1.5752
17195,7.54936
17197,7.09501
17199,2.28034
17201,11.31624
17203,3.31055
18001,2.9668
18003,18.6851
18005,5.03516
18007,6.32422
18009,3.45435
18011,2.87236
18013,1.51593
18015,1.25977
18017,2.17152
18019,8.48047
18021,1.6709
18023,2.46945
18025,0.51465
18027,3.73145
18029,2.84384
18031,2.09989
18033,3.64009
18035,10.01026
18037,2.80566
18039,2.76198
18041,9.96582
18043,9.85449
18045,4.08723
18047,1.15918
18049,12.00879
18051,9.8125
18053,5.11278
18055,2.80859
18057,6.38379
18059,9.94483
18061,1.12988
18063,5.69238
18065,2.47363
18067,6.56177
18069,2.89388
18071,11.53015
18073,2.42816
18075,6.05078
18077,9.27889
18079,1.52635
18081,10.50391
18083,8.13477
18085,2.85647
18087,1.53027
18089,2.56047
18091,6.40918
18093,5.73438
18095,12.91769
18097,6.30372
18099,2.9021
18101,2.80371
18103,1.0518
18105,8.41038
18107,11.08691
18109,2.09918
18111,5.20361
18113,4.85763
18115,10.75553
18117,2.78922
18119,0.94043
18121,1.86328
18123,2.84668
18125,0.96754
18127,9.73877
18129,0.99251
18131,1.71669
18133,5.86865
18135,6.54737
18137,2.00684
18139,2.87793
18141,4.92133
18143,2.27165
18145,7.05274
18147,1.72852
18149,3.05273
18151,2.77491
18153,0.9803
18155,11.19197
18157,9.07394
18159,1.24393
18161,1.89405
18163,8.29649
18165,2.17096
18167,6.11049
18169,2.75
18171,13.51294
18173,4.86035
18175,5.74095
18177,3.70117
