fips,value
1001,2.18652
1003,1.45654
1005,0.12158
1007,1.19336
1009,0.7915
1011,0.77247
1013,1.1294
1015,1.34766
1017,2.33984
1019,0.98829
1021,0.57813
1023,1.10742
1025,1.26758
1027,0.58496
1029,0.55762
1031,1.45215
1033,1.0625
1035,0.54004
1037,1.37988
1039,1.35694
1041,11.38282
1043,1.48096
1045,0.69532
1047,0.17969
1049,0.85156
1051,1.91406
1053,1.58985
1055,1.58399
1057,1.0957
1059,1.30616
1061,0.0625
1063,3.53906
1065,1.56641
1067,1.05762
1069,2.22168
1071,2.86817
1073,2.74805
1075,0.05762
1077,2.23633
1079,0.62305
1081,2.68359
1083,3.69678
1085,1.87159
1087,1.71191
1089,1.85352
1091,0.49184
1093,1.46436
1095,3.11426
1097,1.48438
1099,1.16699
1101,1.48535
1103,2.89063
1105,1.20752
1107,1.68262
1109,5.04102
1111,0.94238
1113,1.15918
1115,1.53809
1117,3.31543
1119,0.77246
1121,1.68164
1123,3.00635
1125,3.15137
1127,1.04981
1129,0.45898
1131,0.50745
1133,0.50684
2013,0.38672
2016,0.24707
2020,1.69678
2050,0.3418
2060,0.23682
2068,0.33643
2070,0.85938
2090,1.32129
2100,0.05762
2105,0.32813
2110,1.69043
2122,0.93311
2130,1.70947
2150,1.00049
2164,2.11914
2170,1.6919
2180,0.08594
2185,0.35254
2195,1.1543
2198,0.81543
2220,0.49512
2230,0.30371
2240,0.43066
2261,0.89648
2270,0.76856
2275,3.67725
2290,0.01758
4001,0.41309
4003,1.31397
4005,1.07715
4007,1.73584
4009,3.1084
4011,2.11523
4012,0.62988
4013,2.21191
4015,1.13477
4017,0.82373
4019,2.7998
4021,3.08496
4023,1.25147
4025,1.97803
4027,1.08008
5001,0.64844
5003,0.40039
5005,1.42188
5007,4.48145
5009,4.19385
5011,0.65332
5013,2.7041
5015,3.01368
5017,0.09034
5019,1.79932
5021,6.29199
5023,0.63086
5025,1.98242
5027,4.20605
5029,1.27734
5031,1.54492
5033,1.58838
5035,0.72461
5037,1.24268
5039,6.28125
5041,2.90723
5043,2.2627
5045,2.01417
5047,4.71484
5049,1.23779
5051,2.46094
5053,1.26367
5055,0.6709
5057,1.08887
5059,0.91456
5061,1.94141
5063,0.7002
5065,0.04883
5067,4.63184
5069,1.75098
5071,1.94092
5073,0.37696
5075,4.52149
5077,0.1001
5081,0.7627
5083,1.35645
5085,1.04004
5087,0.81445
5089,1.42774
5091,4.18457
5093,1.48536
5097,1.75098
5099,1.08887
5101,2.16113
5103,0.11084
5105,2.20362
5107,1.9541
5109,0.82617
5111,0.29785
5113,0.7793
5115,1.50586
5117,0.00488
5119,1.21582
5121,0.04395
5123,0.10352
5125,1.47754
5129,1.8042
5131,2.07617
5133,1.73242
5135,0.93945
5137,1.42871
5139,0.68946
5141,1.11328
5143,3.11182
5145,0.87598
5147,0.66358
5149,1.21582
6001,3.70117
6003,0.16797
6005,2.5459
6007,3.56348
6009,1.20215
6011,0.94825
6013,3.77295
6015,2.78565
6017,1.73242
6019,2.49512
6021,2.23633
6023,2.13379
6025,2.88867
6027,0.94336
6029,2.41504
6031,3.13574
6033,1.16358
6035,2.59473
6037,2.21875
6039,1.56543
6041,5.12793
6043,0.62793
6045,1.86719
6047,2.03613
6049,5.63623
6051,0.85205
6053,2.49902
6055,3.60059
6057,2.72852
6059,2.42871
6061,3.21875
6063,0.72461
6065,1.88086
6067,3.08789
6069,1.39941
6071,2.26563
6073,2.40918
6075,2.83984
6077,4.00244
6079,5.19775
6081,4.33789
6083,2.00489
6085,2.9873
6087,2.42676
6089,0.82569
6091,2.89941
6093,1.03467
6095,4.63282
6097,3.67481
6099,10.14941
6101,4.85254
6103,1.00488
6105,1.06543
6107,1.79151
6109,0.98535
6111,3.26074
6113,1.43555
6115,2.15137
8001,2.22119
8003,1.49805
8005,2.37207
8007,0.73633
8009,0.65772
8011,3.36328
8013,2.69922
8014,2.03516
8015,0.58887
8019,0.854
8021,0.41309
8023,0.34473
8025,1.2832
8027,0.70313
8029,1.33203
8031,2.20069
8033,0.73828
8035,3.72852
8037,2.00098
8039,1.8252
8041,2.34473
8043,1.18457
8045,2.07959
8047,1.29102
8049,1.34766
8051,0.53711
8053,2.50098
8055,0.75586
8057,0.25684
8059,1.83105
8063,0.27686
8065,0.87891
8067,0.84326
8069,2.27051
8071,0.91163
8073,0.5874
