fips,resistance,recovery,resilience
1001,0.3617,0.716524,0.915278
1003,0.393415,0.691783,0.916845
1005,0.240765,0.707248,0.89717
1007,0.288594,0.680318,0.899766
1009,0.29361,0.63578,0.891699
1011,0.269035,0.729678,0.904732
1013,0.288207,0.716606,0.905092
1015,0.317888,0.782744,0.918179
1017,0.26353,0.708381,0.900756
1019,0.256576,0.674241,0.893103
1021,0.293654,0.670841,0.899051
1023,0.263028,0.734791,0.904228
1025,0.26039,0.73594,0.904537
1027,0.260595,0.715263,0.901414
1029,0.259247,0.678018,0.89463
1031,0.35036,0.851207,0.929298
1033,0.33855,0.727096,0.913285
1035,0.247322,0.725819,0.900696
1037,0.272068,0.685419,0.898101
1039,0.278169,0.729831,0.905388
1041,0.2147,0.724003,0.895762
1043,0.300146,0.70118,0.905148
1045,0.353259,0.771913,0.920558
1047,0.272042,0.773398,0.910595
1049,0.292042,0.663478,0.897418
1051,0.336641,0.698061,0.908351
1053,0.250444,0.700614,0.896536
1055,0.297995,0.728352,0.90876
1057,0.268108,0.707785,0.901182
1059,0.296237,0.704593,0.904809
1061,0.296929,0.723582,0.907171
1063,0.273682,0.750099,0.907449
1065,0.26853,0.752029,0.906787
1067,0.313166,0.732594,0.911012
1069,0.339759,0.703279,0.910019
1071,0.297104,0.753522,0.911117
1073,0.349437,0.766258,0.920494
1075,0.294783,0.724934,0.907687
1077,0.317043,0.702571,0.907446
1079,0.274283,0.663148,0.89434
1081,0.300898,0.661786,0.898507
1083,0.351468,0.692913,0.910442
1085,0.263008,0.75394,0.906446
1087,0.270814,0.783902,0.911675
1089,0.463302,0.841265,0.941281
1091,0.273925,0.74217,0.906711
1093,0.287913,0.704894,0.90327
1095,0.315455,0.714823,0.909191
1097,0.366695,0.743356,0.919481
1099,0.266609,0.713115,0.900893
1101,0.385108,0.825346,0.930656
1103,0.363048,0.700699,0.913738
1105,0.239628,0.749192,0.9036
1107,0.274711,0.755511,0.90841
1109,0.295395,0.772077,0.9133
1111,0.272582,0.708618,0.901691
1113,0.309998,0.72118,0.909186
1115,0.320935,0.642975,0.897168
1117,0.452738,0.658932,0.921073
1119,0.27847,0.770456,0.911229
1121,0.256981,0.719126,0.900785
1123,0.298453,0.719796,0.907496
1125,0.389777,0.730865,0.921147
1127,0.294014,0.7378,0.90933
1129,0.265518,0.699833,0.899259
1131,0.255915,0.769136,0.908443
1133,0.279214,0.70844,0.902278
2013,0.405531,0.776015,0.928191
