fips,resistance,recovery,resilience,Quantitle resistance,Quantitle recovery,Quantitle resilience
1001,0.304735,0.783305,0.91553,0.5,0.75,0.75
1003,0.284253,0.690003,0.898497,0.5,0.25,0.25
1005,0.239492,0.723866,0.897115,0.0,0.5,0.25
1007,0.266453,0.731163,0.903023,0.25,0.5,0.5
1009,0.294284,0.738221,0.907316,0.5,0.5,0.5
1011,0.25014,0.758875,0.904858,0.0,0.75,0.5
1013,0.23725,0.722262,0.89655,0.0,0.5,0.25
1015,0.276988,0.733733,0.90504,0.25,0.5,0.5
1017,0.256744,0.711951,0.89794,0.0,0.25,0.25
1019,0.252626,0.710204,0.897757,0.0,0.25,0.25
1021,0.292987,0.734126,0.906752,0.5,0.5,0.5
1023,0.257,0.730653,0.901596,0.0,0.5,0.25
1025,0.240437,0.708897,0.894664,0.0,0.25,0.0
1027,0.246362,0.662504,0.887607,0.0,0.0,0.0
1029,0.264468,0.692584,0.896763,0.25,0.25,0.25
1031,0.279718,0.736564,0.90486,0.25,0.5,0.5
1033,0.280292,0.759042,0.909548,0.25,0.75,0.75
1035,0.221415,0.722765,0.895447,0.0,0.5,0.25
1037,0.2541,0.726939,0.901012,0.0,0.5,0.25
1039,0.273765,0.722884,0.902651,0.25,0.5,0.5
1041,0.260544,0.719614,0.899424,0.0,0.5,0.25
1043,0.292438,0.732815,0.906902,0.5,0.5,0.5
1045,0.275043,0.760235,0.908087,0.25,0.75,0.5
1047,0.254784,0.783083,0.90873,0.0,0.75,0.75
1049,0.269136,0.730565,0.903725,0.25,0.5,0.5
1051,0.296817,0.772202,0.913074,0.5,0.75,0.75
1053,0.241372,0.707128,0.895033,0.0,0.25,0.25
1055,0.282708,0.714645,0.90261,0.25,0.5,0.5
1057,0.252809,0.72317,0.899069,0.0,0.5,0.25
1059,0.274177,0.741937,0.90643,0.25,0.75,0.5
1061,0.263248,0.717437,0.899244,0.25,0.5,0.25
1063,0.24677,0.757406,0.90401,0.0,0.75,0.5
1065,0.251347,0.78907,0.908879,0.0,0.75,0.75
1067,0.25911,0.766699,0.906284,0.0,0.75,0.5
1069,0.280963,0.749592,0.907508,0.25,0.75,0.5
1071,0.242096,0.676526,0.889951,0.0,0.0,0.0
1073,0.305636,0.753927,0.911871,0.75,0.75,0.75
1075,0.280622,0.731142,0.905282,0.25,0.5,0.5
1077,0.281386,0.750649,0.908614,0.25,0.75,0.75
1079,0.250288,0.727595,0.900661,0.0,0.5,0.25
