Measure, # entires, # zeros, Min, Max, Mean, Median, Std, Mean/Median, Std/Mean, Skewness
1,3231,26,  0,  1,0.593562,0.712092,0.22,0.83,0.37,-0.03
3,3109,7,  0,  1,0.500158,0.494764,0.14,1.01,0.28,0.03
4,3103,4,  0,  1,0.499922,0.503794,0.14,0.99,0.28,-0.00
5,3142,3,  0,  1,0.500028,0.500557,0.14,1.00,0.29,-0.01
6,3142,8,  0,  1,0.499905,0.500929,0.14,1.00,0.28,-0.03
7,2823,11,  0,  1,0.499835,0.50405,0.14,0.99,0.28,-0.05
8,3126,9,  0,  1,0.501011,0.479947,0.14,1.04,0.27,0.55
9,2908,9,  0,  1,0.499907,0.498837,0.14,1.00,0.27,-0.03
10,3036,1,  0,  1,0.448218,0.455176,0.16,0.98,0.35,-0.05
11,3075,5,  0,  1,0.509941,0.504248,0.15,1.01,0.29,-0.02
12,3075,2,  0,  1,0.500002,0.503647,0.14,0.99,0.29,-0.04
14,3215,1,  0,  1,0.620962,0.643279,0.28,0.97,0.44,-0.28
15,3126,10,  0,  1,0.500407,0.496847,0.14,1.01,0.28,0.01
16,3140,1,  0,  1,0.430145,0.427872,0.16,1.01,0.38,0.01
17,3141,3,  0,  1,0.500019,0.501368,0.14,1.00,0.29,0.01
18,3140,1,  0,  1,0.398528,0.400549,0.17,0.99,0.43,-0.07
19,3143,1,  0,  1,0.556984,0.554488,0.16,1.00,0.29,0.01
20,2864,1,  0,  1,0.51752,0.514165,0.15,1.01,0.29,-0.01
21,3143,11,  0,  1,0.502133,0.487761,0.14,1.03,0.28,0.20
22,3073,1,  0,  1,0.460316,0.463913,0.17,0.99,0.36,-0.06
23,2932,2,  0,  1,0.499974,0.502708,0.14,0.99,0.28,-0.01
24,2977,4,  0,  1,0.499942,0.499383,0.14,1.00,0.28,0.01
25a,3045,1,  0,  1,0.5009,0.503699,0.15,0.99,0.30,-0.01
25b,3089,1,  0,  1,0.460886,0.454445,0.15,1.01,0.33,-0.07
26,3137,1,  0,  1,0.499994,0.494589,0.14,1.01,0.29,-0.00
30,3135,6,  0,  1,0.500047,0.493513,0.14,1.01,0.28,0.10
31,3143,5,  0,  1,0.499753,0.503828,0.14,0.99,0.28,-0.12
32,1454,1,  0,  1,0.443994,0.446581,0.16,0.99,0.36,-0.00
38,3143,42,  0,  1,0.492363,0.521953,0.19,0.94,0.39,-0.01
42,3142,1,  0,  1,0.473273,0.478629,0.15,0.99,0.32,-0.02
43,2738,1,  0,  1,0.51163,0.498876,0.17,1.03,0.33,-0.06
44,3137,5,  0,  1,0.550936,0.556,0.16,0.99,0.29,0.02
45,3202,1,  0,  1,0.499674,0.516668,0.14,0.97,0.28,-0.02
48,3143,1,  0,  1,0.57095,0.562329,0.16,1.02,0.29,-0.02
49,3143,1,  0,  1,0.580508,0.591804,0.23,0.98,0.40,-0.17
50a,2997,2,  0,  1,0.499979,0.486503,0.14,1.03,0.28,-0.01
50b,3003,8,  0,  1,0.499908,0.494267,0.14,1.01,0.28,0.09
51,2920,1,  0,  1,0.447604,0.451411,0.16,0.99,0.36,-0.02
52,2914,1,  0,  1,0.481569,0.489465,0.16,0.98,0.33,-0.04
54,1670,233,  0,  1,0.439842,0.433668,0.28,1.01,0.65,-0.02
55,3142,9,  0,  1,0.500069,0.502231,0.14,1.00,0.28,0.06
56,3142,7,  0,  1,0.50016,0.494132,0.14,1.01,0.28,0.11
57,3037,16,  0,  1,0.538852,0.521686,0.15,1.03,0.28,0.18
60,3143,2,  0,  1,0.533895,0.535884,0.15,1.00,0.29,0.02
63,3138,5,  0,  1,0.500087,0.501154,0.14,1.00,0.28,0.01
64,3143,2,  0,  1,0.502082,0.497598,0.14,1.01,0.29,0.01
65,3143,5,  0,  1,0.500233,0.497444,0.14,1.01,0.28,0.13
66,3142,2,  0,  1,0.500016,0.500056,0.14,1.00,0.29,0.01
67,3137,2,  0,  1,0.499903,0.502801,0.14,0.99,0.28,-0.02
68,3124,11,  0,  1,0.499645,0.501173,0.14,1.00,0.28,-0.04
69,3140,1,  0,  1,0.499851,0.500951,0.14,1.00,0.29,0.01
73,3138,5,  0,  1,0.500407,0.502185,0.14,1.00,0.28,0.13
74,3128,5,  0,  1,0.499975,0.500083,0.14,1.00,0.28,0.03
75,3128,5,  0,  1,0.499918,0.508614,0.14,0.98,0.28,-0.01
77,2602,190,  0,  1,0.416594,0.410126,0.23,1.02,0.55,0.06
78,3113,6,  0,  1,0.500039,0.498219,0.14,1.00,0.28,0.05
901,3143,3,  0,  1,0.50135,0.49635,0.14,1.01,0.28,0.02
902,3221,1,  0,  1,0.542994,0.542464,0.17,1.00,0.32,-0.01
