fips,resistance,recovery,resilience
1001,0.307697,0.708342,0.90684
1003,0.30433,0.665657,0.899611
1005,0.209772,0.697291,0.891752
1007,0.258666,0.704171,0.899691
1009,0.26224,0.668539,0.89337
1011,0.241974,0.714289,0.898722
1013,0.223472,0.683481,0.890097
1015,0.260902,0.740926,0.904913
1017,0.250561,0.699134,0.897453
1019,0.231283,0.694884,0.89336
1021,0.253384,0.673544,0.893807
1023,0.231583,0.695476,0.894367
1025,0.230492,0.720466,0.897479
1027,0.236201,0.71953,0.898481
1029,0.258908,0.706121,0.89997
1031,0.302552,0.761734,0.913068
1033,0.264246,0.69895,0.899318
1035,0.217967,0.700246,0.892191
1037,0.215494,0.621066,0.878074
1039,0.240533,0.696972,0.895628
1041,0.230965,0.694932,0.893648
1043,0.252546,0.67497,0.893814
1045,0.269885,0.738208,0.905906
1047,0.230799,0.730177,0.89887
1049,0.264038,0.658193,0.891267
1051,0.294405,0.698329,0.90269
1053,0.247586,0.712952,0.899244
1055,0.265338,0.68476,0.897101
1057,0.238438,0.727807,0.899969
1059,0.265158,0.691768,0.897617
1061,0.240811,0.722244,0.89887
1063,0.254563,0.749901,0.905102
1065,0.254265,0.740729,0.904186
1067,0.253823,0.709296,0.899537
1069,0.27489,0.681933,0.897128
1071,0.26474,0.711347,0.901059
1073,0.273899,0.700249,0.900616
1075,0.239649,0.703589,0.897044
1077,0.262402,0.672448,0.894399
1079,0.232811,0.690705,0.893408
1081,0.261018,0.678382,0.894898
1083,0.279739,0.699815,0.901061
1085,0.223829,0.728842,0.898032
1087,0.251148,0.798397,0.911115
1089,0.317166,0.75865,0.913959
1091,0.227337,0.719402,0.896924
1093,0.246861,0.678306,0.89349
1095,0.281008,0.692951,0.899745
1097,0.284341,0.691131,0.899659
1099,0.230141,0.707951,0.89563
1101,0.28559,0.754741,0.910319
1103,0.282128,0.673152,0.896632
1105,0.222561,0.730187,0.898238
1107,0.242083,0.74742,0.902894
1109,0.2664,0.721083,0.902952
1111,0.233543,0.700651,0.894647
1113,0.250606,0.698927,0.897459
1115,0.265537,0.646825,0.889364
1117,0.32741,0.635821,0.897059
1119,0.235881,0.756296,0.903891
1121,0.23948,0.69081,0.894339
1123,0.25887,0.68735,0.896919
1125,0.295225,0.711968,0.904616
1127,0.251747,0.698019,0.897566
1129,0.253741,0.711363,0.900271
1131,0.233634,0.743888,0.901485
1133,0.232096,0.681171,0.890922
2013,0.35157,0.727445,0.9163
2016,0.296701,0.651292,0.896984
2020,0.360023,0.704475,0.912727
2050,0.32566,0.820037,0.923528
2060,0.4618,0.844089,0.941341
2068,0.381093,0.838843,0.932058
2070,0.318064,0.757489,0.91529
2090,0.355317,0.756822,0.919882
2100,0.324605,0.720623,0.911697
2105,0.298269,0.838661,0.921657
2110,0.432073,0.828105,0.936668
2122,0.324379,0.710608,0.910174
2130,0.282634,0.682761,0.899467
2150,0.363696,0.747332,0.920091
2164,0.345966,0.814551,0.925593
2170,0.347091,0.680494,0.908113
2180,0.315242,0.804957,0.921095
2185,0.414569,0.685667,0.919009
2188,0.322117,0.772054,0.917782
2195,0.335907,0.79406,0.921338
2198,0.340516,0.838915,0.927211
2220,0.303169,0.754964,0.913438
2230,0.324973,0.65149,0.901079
2240,0.305665,0.782872,0.917155
2261,0.372437,0.832615,0.930176
2270,0.313582,0.84792,0.925466
2275,0.295058,0.787367,0.915916
2282,0.494873,0.848084,0.945328
2290,0.315266,0.854437,0.926339
4001,0.259513,0.823594,0.915734
4003,0.273181,0.776216,0.910776
4005,0.301324,0.736704,0.909828
4007,0.287511,0.748586,0.910046
4009,0.319141,0.742866,0.913711
4011,0.290559,0.608051,0.88796
4012,0.268261,0.729616,0.904633
4013,0.326945,0.674147,0.903987
4015,0.276974,0.683792,0.898128
4017,0.255648,0.755672,0.90598
4019,0.31599,0.726916,0.910018
4021,0.302685,0.696255,0.903232
4023,0.28218,0.730845,0.906541
4025,0.284901,0.688941,0.900013
4027,0.288018,0.698547,0.902051
5001,0.288445,0.738236,0.908389
5003,0.265121,0.700884,0.900088
5005,0.2844,0.682153,0.898621
5007,0.336613,0.618386,0.895493
5009,0.272871,0.714376,0.903226
5011,0.286251,0.741987,0.90893
5013,0.295798,0.744446,0.909931
5015,0.299635,0.690258,0.903157
5017,0.217418,0.757776,0.902333
5019,0.257485,0.716158,0.901292
5021,0.260436,0.729153,0.903377
5023,0.246966,0.680638,0.893809
5025,0.275596,0.718641,0.903999
5027,0.241968,0.708263,0.897403
5029,0.276211,0.710257,0.902693
5031,0.277497,0.676436,0.896678
5033,0.273361,0.650758,0.891964
5035,0.261998,0.68987,0.897457
5037,0.302503,0.731152,0.909547
5039,0.247578,0.700388,0.89755
5041,0.257864,0.740569,0.905083
5043,0.260029,0.734119,0.904428
5045,0.294582,0.66677,0.897973
5047,0.286247,0.728829,0.906638
5049,0.261901,0.7296,0.903954
5051,0.262378,0.686571,0.897186
5053,0.28272,0.685802,0.899577
5055,0.251218,0.661387,0.89102
5057,0.254638,0.692785,0.897027
5059,0.244722,0.681208,0.893287
5061,0.261718,0.686841,0.897536
5063,0.268049,0.688041,0.897557
5065,0.246431,0.740683,0.903031
5067,0.274261,0.735486,0.906179
5069,0.256946,0.745453,0.905085
5071,0.273135,0.668191,0.894412
5073,0.22822,0.724928,0.898471
5075,0.299009,0.756479,0.912326
5077,0.244546,0.77846,0.90794
5079,0.228023,0.744597,0.901009
5081,0.291466,0.708483,0.904096
5083,0.266194,0.718669,0.90334
5085,0.305373,0.687063,0.903104
5087,0.246181,0.680162,0.893765
5089,0.25988,0.687074,0.897186
5091,0.283779,0.688897,0.89993
5093,0.24139,0.704068,0.896661
5095,0.222996,0.732935,0.899274
5097,0.285751,0.737729,0.908229
5099,0.246239,0.707521,0.897569
5101,0.269745,0.757501,0.908026
5103,0.25121,0.736515,0.903464
5105,0.275631,0.730614,0.905975
5107,0.261475,0.749912,0.907043
5109,0.245206,0.711715,0.898956
5111,0.244689,0.727263,0.900625
5113,0.241299,0.706098,0.897597
5115,0.273402,0.676641,0.895816
5117,0.22975,0.726864,0.899204
5119,0.290053,0.733578,0.907867
5121,0.247055,0.712636,0.899008
5123,0.222492,0.728675,0.898344
5125,0.308686,0.642508,0.895876
5127,0.25184,0.696747,0.8978
5129,0.248463,0.745521,0.903966
5131,0.269837,0.661622,0.89307
5133,0.267539,0.683913,0.897048
5135,0.249276,0.720454,0.900779
5137,0.24815,0.719187,0.899977
5139,0.245791,0.691683,0.895819
5141,0.23314,0.705379,0.895269
5143,0.320809,0.667925,0.90249
5145,0.27519,0.67948,0.896894
5147,0.271267,0.754748,0.90847
5149,0.254656,0.701755,0.898473
6001,0.272798,0.672971,0.895432
6003,0.278013,0.734718,0.90698
6005,0.273723,0.721303,0.904011
6007,0.252788,0.68366,0.894506
6009,0.299747,0.72119,0.907486
6011,0.315414,0.727323,0.910611
6013,0.297112,0.658162,0.8961
6015,0.263868,0.747977,0.905971
6017,0.298022,0.67563,0.899229
6019,0.280496,0.673474,0.896234
6021,0.273671,0.709243,0.902651
6023,0.280176,0.704707,0.902448
6025,0.263486,0.692689,0.89788
6027,0.307586,0.774649,0.916321
6029,0.277677,0.680059,0.897279
6031,0.283978,0.708544,0.902631
6033,0.268932,0.712288,0.902023
6035,0.295097,0.777693,0.914544
6037,0.273678,0.662434,0.893287
6039,0.268573,0.66621,0.893875
6041,0.290752,0.662262,0.895832
6043,0.25649,0.758587,0.907021
6045,0.264496,0.693649,0.898532
6047,0.274358,0.676853,0.896203
6049,0.298529,0.809828,0.918758
